context,prompt
angry,"I used to be afraid of the dark but now I am not so much, I had a nightlight for a long time"
angry,"I took this girl on a really nice date and then she said that it went well. Then, out of the blue, she dumped me and said she wasn't ready."
angry,I was going to see my favorite band. But the show was canceled!
angry,i was mad when i saw a huge dent in my door
angry,I told my daughter she wasn't allowed to watch youtube. I caught her watching videos on her tablet
angry,My brother tripped me and made me fall. He's such a jerk.
angry,My brother tried to fight me after class. I couldn't believe it.
angry,I was walking home when a car drove through a huge puddle near the sidewalk. I was completely drenched
angry,I dropped my laptop and broke it.
angry,"It always feels like I'm not being listened to. My family seems to be deaf when I speak, when of course, I know they aren't."
angry,I went to the post office earlier and it was closed. I was so mad I didn't get there earlier.
angry,"the neighbor's dog barked all night and kept me up, let's say I am not very happy right now"
angry,The paper boy flung the newspaper and broke my window.
angry,I hate it when I get ignored. It makes me feel less human and I get very mad!
angry,I was so mad when my friend forgot my birthday.
angry,"I kept playing a card game with my brothers, and I kept losing. They were bragging over and over, and being disrespectful. I just wanted to spend quality time with them... It gets frustrating sometimes."
angry,My car broke down
angry,Someone threw away my lunch at work today. I was so upset someone did that.
angry,My dog decided to take a break from potty training and go all over my house while I was at work. No more free roaming for that bad dog
angry,"For the 3rd month in a row, I have received and incorrect cell phone bill! I feel like screaming at the customer care representatives!"
angry,I was driving through my neighborhood when a car backed out of their driveway without looking. I was so mad.
angry,The printer at work is the worst thing ever
angry,My mailman delivered my package to the wrong address. I am furious about it.
angry,When i see people leaving their parents in oldage home. I get furious
angry,I was stollen my wallet at work.
angry,A coworker mad me very mad one day. She slammed a large order of work on my desk and basically demanded that I do it! She has no right to do that.
angry,Someone cut me off on the road and almost caused me to wreck.
angry,Some dude..because I live in a ghetto city..thought it was okay to pull up on my property beeping until I came out..smoking his cig with ashes in my driveway.. Makes me so angry at how UNCOUTH people are here.
angry,When a friend slapped me
angry,My girlfriends dog isnt getting potty training. One week she will be great. The next week the only place she doesnt go to the bathroom is outside.
anxious,I drank all the coffee this morning and didn't share the whole pot with anyone. Now I feel very strange.
anxious,My department is being closed.
anxious,I have a big test coming up for school. I have studied every day but am worried I will not do good.
anxious,I can't wait until I have grandkids.
anxious,I was a little nervous going to this job interview. I did not know what to expect
anxious,"We're refinancing student loans, buying a house, and my wife is getting a new job."
anxious,"Whenever I have to give a presentation, I get so nervous. Mentally, I don't really care, but my legs shake, my heart pounds, and I speak too quickly. Being the center of attention makes me feel that way"
anxious,"When I interviewed for the job I have now, I didn't hear back from them with a solid response for a month. I kept having to check with them to make sure I hadn't been forgotten."
anxious,I am worried I won't wake up to my alarm
anxious,I'm anxious to meet my wife's ex-husband. Hopefully it will be civil and not awkward!
anxious,"I went to the doctor recently for my annual check-up, I always think they're going to tell me something's wrong."
anxious,"The first day I went to the gym after years of being out , I was so anxious I was going to look stupid."
anxious,I have to go to the doctor tomorrow. I hope I get a clean bill of health.
anxious,I have to go to the dentist really soon. One of my teeth are very sensitive lately. I don't want to go.
anxious,I'm always nervous about public speaking
anxious,I am not sure about payday. It can be a stressful time and I really wish I didn't have to go through it this week.
anxious,I haven't heard from my girlfriend in 2 weeks. Wonder what's going on?
anxious,I had a wisdom tooth giving me some pain recently and had to go to the dentist. I waited as long as I could before i finally went. I hate the dentist.
anxious,I've just been to see my orthopedic surgeon. He has suggested an operation to fix my hip. I'm worried about it as surgery is quite stressful.
anxious,I have a huge work presentation coming up Friday and I am very nervous.
anxious,I am feeling trepidatious about payday this week. I don't now if someone I know will act up and I am not looking forward to any drama.
anxious,I'm really nervous about a test I just took. I hope I passed.
anxious,I'm giving birth on wednesday.... I can't wait!
anxious,Four more days and school is back in session. I could skip the entire weekend.
anxious,My girlfriend sent me a gift and it will get to me in 3 days. I cannot wait to see what she got for me
anxious,"im excited to go to a concert on sunday, it should be awesome"
anxious,"At my day job, we recently had a departmental meeting where we were discussing who our new department head should be. I'm really uncomfortable with one person we're considering, so I felt anxious during and after this meeting."
anxious,"I had to go to the doctor recently to get something checked out, I was definitely nervous about the outcome."
anxious,I'm going to job interview Thursday. I'm currently employed but I'm ready to move on.
anxious,I am very nervous to be a father.
anxious,when im stuck in high traffic my anxiety goes through the roof
anxious,I was pretty nervous today going to the gym. There were a lot of people there
anxious,I'm moving to a new city and starting a new job in an industry I've never worked in. I'm both excited and nervous at the same time.
anxious,"I have to get surgery tomorrow morning. I am getting my wisdom teeth taken out, and I am pretty nervous about it."
anxious,waiting on a call
anxious,I am expecting the reports from my doctor. I am not sure what is the matter with me and will find out.
anxious,I hate storms so much. We are supposed to be getting bad storms tonight. I have a feeling I won't be getting any sleep.
anxious,I really hate going in front of crowds. Especially when I had to recite a poem in front of a whole crowd of people.
anxious,I am pretty nervous about my doctors appointment on Thursday.
anxious,"I have a business meeting coming up this Friday, and I really want to make a good impression."
anxious,Riding rollercoasters this weekend
anxious,I am so ready for this weekend. The kids are leaving and I get to do absolutely nothing
anxious,I recently flew for the first time on an airplane. My anxiety was through the roof!
anxious,everytime i order something i really want it makes my anxiety go through the roof
anxious,I am nervous about my 5 year old starting kindergarten.
anxious,We were driving to Colorado to visit my sister last month. The traffic in Denver was very scary to me. I felt panicky.
anxious,I'm looking forward to some Fall weather.
anxious,My final exam for Statistics summer class is in two days. I feel so stressed out about it
anxious,I was at the doctors office waiting for the results of a blood test and I was a little scared
anxious,i cant wait to hear if my house sells. i am so nervous
anxious,"I have a lot of nerves today! I am sick a lot in my health and I can't seem to figure out what sets off my fibro a lot, it gives me anxiety and depression and I am just so overwhelmed with it I don't know what to do anymore!"
anxious,I'm so worried I will fail my Chemistry test. I just can't remember all the elements.
anxious,I was a little nervous going to the doctor this morning. I did not feel like going
anxious,"I am scared of how work is going to go, it is the start of our busiest period of the year"
anxious,I was waiting in the waiting room for my last job interview.
anxious,I woke up yesterday and forgot I had a midterm exam later that same day. I had to quickly cram because I was worried that I wouldn't remember the material for the test.
anxious,I have a job interview coming up adn i am a little nervous about it.
anxious,I'm a little nervous about the aliens in my backyard
anxious,I am on a new diet for my Lupus and it is critical that this work b/c the next steps to take care of my Lupus are very powerful drugs that I don't want to take
anxious,"When I was younger, I had social anxiety. Speeches would give me terrible anxiety."
anxious,i am nervous for a meeting i have later
anxious,I got in a car accident and now i have anxiety attacks every time i drive
anxious,I hate being in public by myself. It gets me super nervous and I turn bright red.
anxious,I will be going to New York Next week. I cant wait!
anxious,I am worried about my cat. She is acting kind of strange. I hope she doesn't have an illness.
anxious,I was nervous driving this evening. There was so much traffi
anxious,I start my new ob tomorrow. I am so nervous.
anxious,I have a speech to prepare for and I'm not ready.
anxious,I have my math test tomorrow and didn't study. I don't feel very good about it.
anxious,Tomorrow I have to give a big speech to my colleagues at work. I am very nervous.
anxious,I had a video job interview.
anxious,I found out my sister was finally able to get pregnant last week.
anxious,I was waiting to see if I was going to receive an award
anxious,My dog pooped on the rug today. I am not looking forward to cleaning it up.
anxious,I am so ready for Thursday.
anxious,I was in my car and got stuck in traffic. everyone was honking and it was kinda scary.
anxious,I think i have anxiety attacks
anxious,I took a medical test today. I am so nervous to find out the results.
anxious,My dog has been acting kind of funny. I am worried that he has health issues. I hope he is OK.
anxious,I had 2 job interviews yesterday and my nerves are on edge today.
anxious,"I am anxious about moving, I have lived in this house almost my whole life"
anxious,My partner/semi partner (lol) wants to come over next weekend..but I am not feeling comfortable with it.
anxious,I am expecting a very big settlement. I can not wait
anxious,I have a health check coming up in a week and I'm a bit antsy about it.
anxious,Going to the dentist always worries me.
anxious,I have a really big game coming up this weekend. I haven't played soccer since I was a kid and have been really nervous about joining an adult league.
anxious,i get anxious when my girlfriend says we need to talk and then it turns out it's nothing big
anxious,The other day I was driving somewhere unfamiliar and I got lost. The GPS on my phone stopped working and I felt panicked.
anxious,"The other week I was walking a friend's dog as a favour, but while out with the dog I lost it and could not find it for ages. It had run off into some trees, I was really getting anxious about it"
anxious,I shot a roll on 35mm film. I was very excited to see the results.
anxious,I am starting a new job next week. I am really nervous and not sure if I will do well.
anxious,I am so ready for the first Monday Night Football game.
anxious,"I have to take a foreign language class for college, and I'm not sure how well I'll do"
anxious,Long trip to florida. Don't like riding in cars.
anxious,"When my pet got badly injured a few months ago, I thought for sure that she would not make it."
anxious,"i felt anxious when i do ,my work in office"
anxious,finding out if baby is boy or girl
anxious,"i was in a competition,tomorrow is the elimination stage"
anxious,I can't wait to see what my boyfriend has planned for my birthday. He says its a big surprise
anxious,I have a big certification test coming up for my job. I studied so much but am still nervous I won't do good.
anxious,"I think it's funny how I got the lead role for ""The Selfish Giant"" in my elementary school play....I was the shyest kid in my class and was really nervous at first...but I nailed it twice and had parents and teachers crying when my character died, it was hilariously cool"
anxious,"I remember when I was in 8th grade, I had to sing the national anthem at my middle school graduation in front of hundreds of students and parents"
anxious,when i was getting ready to move and take a drive across the usa
anxious,I have a dentist appointment tomorrow and it's starting to make me a bit nervous. I have to get a filling replaced.
anxious,I'm running my first Marathon Sunday. I'm scared that maybe I did not train hard enough.
anxious,I have a test next week
anxious,waiting for my twins to be born
anxious,when i don't know if i have a busy day coming up the next day the unknown drives me crazy
anxious,I had to wait a few weeks to get some results back from a test at the doctor's office.
anxious,to get hired at a new job
anxious,I'm so excited to go out to dinner tonight! I feel butterflies in my stomach
anxious,next week i will be presenting my project
anxious,"i am going to a concert on sunday, i cant wait"
anxious,"The result of my final college exams was to be published the next day,I could hardly sleep due to expectations"
anxious,I took a test last week and I'm still waiting on the results to come in.
anxious,I was expecting a person to show up at my meeting. They are not very nice!
anxious,I just got my vacation approved. I leave next Friday. I am getting real antsy about leaving.
anxious,I'm so sleepy but have so much work to do.
anxious,to start my new job
anxious,I start a new job as a nurse next Monday and I'm so nervous. Nothing can prepare you for the real world of nursing compared to nursing school.
anxious,I had a job interview and wanted to just get it over with.
anxious,I am starting a job next week in a new school as a teacher and I have to give a speech in front of the entire school. Pubic speaking in front of that many people isn't my favorite thing.
anxious,I seriously can NOT wait to finish work so I can go to the beach.
anxious,I am waiting for my blood test results. I am very stressed about it.
anxious,I have to go into a new job today. My friend told me it wasn't any fun.
anxious,I have been feeling very apprehensive these days.
anxious,After having 4 interviews none of the employers had called me after 1 week which stressed me out.
anxious,"I'm trying to join the Air Force. It's exciting to think of the future, but it's also scary thinking of it. I don't know what to expect from Basic and I don't know if I want to give up 4 years of my life."
anxious,I have a big exam coming up! My nerves are getting to me.
anxious,I find myself with being over ran with anxiety that it is hard to concentrate and stay focused
anxious,A close friend said she was having problems with her knee. I hope she goes to a doctor soon
anxious,I start back at work soon. The beginning of the school year always has me on edge.
anxious,My girlfriend is going to work overseas. We've never been apart for more than a couple of days.
anxious,My wife is pregnant with twins. I am really looking forward to the delivery.
anxious,I was really nervous when my girlfriend asked me to meet her parents. I was so close to running away!
anxious,"I am scared about my upcoming job interview, I get really nervous about this type of thing"
anxious,I'm finally going to get to talk to a girl I contacted onine.
anxious,I have a toothache. It has been getting worse for the past month. I don't want to go to the dentist though. I hate going.
anxious,My best friend is coming to visit next week. I am so excited to see her because it's been a long time.
anxious,My aunt was rushed to the hospital a few days ago. They are currently monitoring her condition.
anxious,I had a meeting with a new doctor this week. I hate meeting new doctors.
anxious,I've got an employee review at work on monday.
anxious,I've been having to deal with me and my wife's new business and it's been kind of sttressful.
anxious,"I was having serious medical issues so I went to the doctor. They worried it was all these terrible things, so they had to run tests."
anxious,My girlfriend is moving in. I was pretty calm when we first started talking about it. Now I'm excited but there is so much to pack up!
anxious,"I'm typically this way in a lot of situations, most recently when I had to go to the doctor and have something removed. I felt better once I was there, though the feeling lingered a bit. Everything turned out fine in the end."
anxious,Meeting with my boss
anxious,being alive
anxious,I was nervous going to the dmv. I hate going there
anxious,I wanted to ask this girl out and planned on doing it soon.
anxious,"The movie starts in 30 minutes, but I'm still stuck at work. I hope I make it in time."
anxious,"When I order something online, I am so impatient to receive it"
anxious,I've been a bit uneasy about money lately.
anxious,"I walked into my physics final knowing that I was gonna do awful. Despite that, I was still nervous walking in there."
anxious,Driving sometimes gets me very nervous. I don't like the thought of getting in a deadly car accident.
anxious,I am so nervous. I have a blind date tomorrow night.
anxious,I was so ready for the black ops 4 beta today
anxious,I had to go to the ER when I cut my hand. I was very concerned about the course of the treatment while waiting to see the Doctor.
anxious,"I am so stress. Tomorrow, I will have my final exams."
anxious,I have my birthday coming up and my co-workers are expecting me to throw a party. I am so stressed about it
anxious,I was on my first blind date!
anxious,"Im so nervous, have a big exam coming up. I hope I do good."
anxious,Bills and mortgage payments are comming up. I am working hard to make sure I can satisfy them.
anxious,I'm going to drive a truck. Never driven a car that big before.
anxious,I cant wait to move
anxious,I have felt this way while waiting to get into grad school.
anxious,My a/c is going out and it is supposed to be real hot today. I hope it doesn't break on me.
anxious,"I was recently waiting to hear the results of a medical exam. Fortunately, in the end it all turned out ok. But it was nerve wracking."
anxious,"I have been working on a big proposal for weeks. Tomorrow, I have to give the presentation to the client and in-front of my team."
anxious,"I have a meeting with my boss in a couple of hours. I have no idea what it's about, so I'm kind of nervous."
anxious,I got laid off a few months back and was really worried about paying my bills. It was consuming me. But I ended up getting a new job the week my unemployment ran out!
anxious,The first day I started working out I was anxious about looking silly at the gym.
anxious,I can't wait to see the meg. It looks really good
anxious,"I was going through some boxes in my moms storage unit looking for something the other day and came across a bunch of my great great grandmas momento boxes. We looked inside them and found some super weird stuff, like a ponytail full of my grandmas grandmas hair! I was so weirded out!"
anxious,Public speeches always get me. It makes me very nervous and I just can't do them.
anxious,"Getting on a flight in a couple of days. Kind of nervous because I've never flown before, and I just have a weird feeling about it. Like, I know it will be fine, but I'm worried about the safety of plans, I'm worried about getting lost, I'm worried about being far from home.. Just a little overwhelming."
anxious,i had to wait a day for test results last week
anxious,I start a new job on monday.
anxious,I am excited about going on vacation.
anxious,I was supposed to go on a work trip but my child go sick. I was so worried to tell my boss that i wouldn't be able to go. It was an important trip and it was too late for someone to replace me.
anxious,I was on a plane last month and they had bad storms. The plane was shaking and it was unnerving
anxious,I have so much to clean and get ready before summer ends! It's making me a bit nervous as there is so much to do and so little time!
anxious,"I have a very hard time taking tests. When I know I have an important exam coming up, I worry for weeks in advance."
anxious,I was so worried about getting on the roller coaster at the fair but I couldn't let my family know it so I got on anyways.
anxious,I was nervous when it storm last weekend. It rained hard
anxious,I am so prepared for this storm coming up. But I didn't buy any fun stuff..
anxious,I had a tree limb fall on the roof of my house
anxious,I feel nervous most of the time but when my regional boss comes into town it gets pretty bad
anxious,"Dealing with a partner away at therapy is tough. Especially when they go through some hard things and you don't know how they will react and if they will take it out on you, leave etc."
anxious,taking kid to first day of school
anxious,so many emotions i feel distressed
anxious,I am almost done with law school. I cannot wait to graduate and start working.
anxious,I have to make a birthday cake later tonight. I am worried I might mess it up.
anxious,I have a huge test tomorrow and I am so nervous. I don't feel ready for it.
anxious,I felt really nervous when cops pulled me over last week. I thought i was in trouble
anxious,One time I was so nervous to look at my grade for my final exam
anxious,I always get nervous when I drive. The possibility of getting into a car accident is nerve wrecking.
anxious,I am unsure of how my future is going to turn out.
anxious,waiting for my new car to arrive
anxious,Going on roller coasters makes me so nervous. I can't stand the feeling in my chest on the comedown.
anxious,School starts back in 2 weeks. I'm a bit nervous about the new students/class that I will have.
anxious,The final exam for my Linear Algebra summer class is in a week and I do not feel prepared for it
anxious,I am very nervous about my wife giving birth next month.
anxious,I was about to check my result so I had an anxiety to checking it
anxious,"I was feeling a bit apprehensive lately, since my children are going back to school. One to college, the other to high school. They grow up so fast!"
anxious,"Tonight I feel wound up a bit. I am tired of being sick. I have tried so many things, I am hoping the herbs I am getting tomorrow will help with my digestive problems, blood flow, fibro etc"
anxious,I went back to college as an adult. It was surreal seeing all the young kids around me.
anxious,I'm going on a date tonight. I'm pretty nervous
anxious,I'm really worried I screwed up at work and said something I shouldn't have. Now I can't stop thinking about it.
anxious,I was excited to go to a concert tonight but couldn't get myself to go by myself at the last minute and so I bailed. I'll probably regret it.
anxious,I am ready for the Foreigner reunion concert.
anxious,"I am scared about growing up, it is sort of unnerving"
anxious,"My friends are in the process of adopting a child through DFACS. It has been a long time coming and all of us are eager for this to go through, it's been pretty nerve wracking"
anxious,I think I'm losing my hearing almost entirely in my left ear and now in my right. No one knows what's going on.
anxious,I have a big test coming up for my psychology class. I'm not sure how I'm going to do.
anxious,I have to go into get my tooth pulled soon. I don't do well at the dentist.
anxious,"When I applied for the job I have now, it took them almost a month to get back to me. I contacted them two or three times and they kept telling me they were working on it."
anxious,My daughter was thrown from her horse a few months back. We took her to the hospital and it took hours to make sure she was ok. Those were a long few hours.
anxious,I am going to have a quiet night alone tonight. I cant wait
anxious,I have my math final tomorrow. Never been so nervous.
anxious,"My son had to have surgery to remove his tonsils last month. I know it's a routine procedure, but I could not sit down for the entire time and I was so relieved when they said everything went just fine."
anxious,im nervous for the new week to begin
anxious,I've a bit nervous. I've got a blind date tomorrow.
anxious,My girlfriend lost a lot of weight.
anxious,"We had a trip planned and had to go by airplane. I was so nervous about getting on the plane I couldn't sleep at night. After actually flying, I have stopped worrying so much and we fly all the time now."
anxious,When I was a little kid I participated in a spelling bee. I was nervous at first but ended up taking first place.
anxious,Ive been waiting for months for Madden to come out. Finally this friday i will be able to get it.
anxious,I am worried and concerned about the environment. There always seems to be bad news on TV.
anxious,I was nervous for my mom's surprise party
anxious,"the new madden came out today, i was so amped for it"
anxious,I didn't pay my taxes this year. I am nervous I may get audited.
anxious,"I had to get my foot looked at by the doctor, always makes me nervous."
anxious,"I've got to get an MRI and I've been waiting for the appointment for almost 3 weeks now. I guess it's good it's not an emergency, but it's sure nerve wracking not getting it over with."
anxious,My little grandson was admitted to the hospital a few days ago. He is still having testing and it's so hard to wait around to get the test results back to find out what is wrong.
anxious,I had to wait in line for food at the mall but all the people sitting and eating made me nervous.
anxious,I am anticipating a really long day tomorrow and it makes me nervous
anxious,"The first day of my new job, I was very anxious. I felt like it was just a completely different world."
anxious,I was nervous when I had to go to jury duty. I just did not want to go
anxious,I'm a bit nervous about a trip coming up.
anxious,I was very nervous to fly on a plane.
anxious,I have to go to the dmv on friday. I am nervous about it
anxious,My friend said she wanted to talk to me. No idea what it could be about.
anxious,My boss is coming for dinner tonight with his wife. Many things could go wrong I hope they don't or I probably won't be getting a raise.
anxious,"Thieves came to break into our compound last week, but was caught"
anxious,"I was anxious when I applied for grad schol, I did not know if I would get in"
anxious,I took the train to work the other day and it so crowded. I was feeling really claustrophobic.
anxious,I have a big interview scheduled for Friday. I am scared that I will not do well.
anxious,I get so excited when I get to a seafood buffet. I just love crab and lobster
anxious,"Work has been slow lately, making me stressed."
anxious,I did not want to go to jury duty. It just made me nervous
anxious,I went to the dentist yesterday to have a cavity filled. I was extremely nervous about going after being told that it was close to my nerve.
anxious,I was talking to my aunt on the phone but I felt awkward and nervous because I am not good at talking.
anxious,when i was waiting on my baby to be born
anxious,"I used to be nervous getting in the pool when I was a little kid because it would remind me of when I almost drowned...but swimming lessons took care of that, I'm glad my parents pushed me and gave me confidence to be on the swim team"
anxious,everytime a pretty girls looks at me its like I forget how to function.
anxious,Today is my birthday. I can't wait to see who calls me. Or my gifts.
anxious,"I'm an introvert, so being faced with a new situation and new people puts me on edge."
anxious,"I sent an email to a family member I hadn't spoken to in a long time, I really didn't know what they'd say or how they handle it. Waiting for a response made me quite nervous."
anxious,"I sent an email I shouldn't have sent, and for about a week I obsessed over it. Thankfully nothing came of it and all that worrying was for nothing."
anxious,I can't wait until everyone is back in school. Including the neighbors kids. ITs too loud around here
anxious,When I was waiting for my certification exam results.
anxious,Big day for me tomorrow. I start a new job.
anxious,I was so nervous starting my new job. I had no idea what to expect
anxious,for a long time I wasn't sure what would happen. But almost 2 years on and no sign of them
anxious,"I had all my stuff moved from my old apartment to my new one, but the truck had a crash. I'm scared to find out if my furniture is ok"
anxious,I can't hardly wait to see if I really did win the lottery.
anxious,"I let my health insurance coverage lapse and don't have any insurance right now. Figured I'd be okay since I'm young and haven't gotten sick or hurt in years. Just yesterday, someone smacked into me and my leg hurts a ton now."
anxious,"I love to travel, but I hate flying. Last time I took a flight, I was nervous and didn't want to go."
anxious,I'm really scare of heights. I can't go to the top of a building with out my knees getting a bit weak.
anxious,I get really nervous when I have to confront someone and be assertive.
anxious,I gotta go to this serious interview tomorrow
anxious,I am waiting for an important package. I am worried if I will get it.
anxious,im nervous about an interview next week
anxious,I'm going on a blind date this weekend. I've never even been on a date.
anxious,I have to go to the dentist next week and im so nervous. I hate going to the dentist
anxious,I am in the middle of a contract dispute and I don't know what is going to happen.
anxious,I can not wait for my best friend to visit from Germany.
anxious,"I'm starting a new job next week, and I am super nervous."
anxious,"I woke up to the sound of my phone ringing. I hate the sound of my phone going off, it stresses me out. It was bill collectors too, although for the wrong person."
anxious,I am so worried I will fail my Geometry test coming up. I just don't understand the concepts.
anxious,Tomorrow I have to give a presentation at work and I just found out that the Vice President of the company is going to be there.
anxious,i don't like the feeling of the unknown
anxious,Getting interviewed for a job for the first time.
anxious,i hope that i can see my family by the end of the year
anxious,I had an interview for a hospital I want to volunteer at
anxious,I am ready for Connor Mcgregors UFC fight in October.
anxious,"I've been passively job hunting for a few months now, looking for a better job. I haven't had any luck yet and I'm starting to feel like I never will."
anxious,I am nervous thinking about going on a date.
anxious,I had to get my foot checked at the doctor recently.
anxious,I'm not ready for the long 9 hour drive.
anxious,"I'm getting anxious about visiting my girlfriend's parents this weekend, it'll be our first time meeting."
anxious,I felt nervous before I rode on an airplane for the first time3=
anxious,I couldn't get any sleep last night. Something was scratching on my window.
anxious,I couldn't wait for my mom to get here from New Jersey.
anxious,I start a new job on Monday! I am excited but very nervous!
anxious,I just dropped my son off at daycare for the first time. It was the first time I've been away from him for more than a couple hours.
anxious,"I remember the first time I asked a girl out. My heart was beating out of my chest. She said no, but I learned that ""no"" isn't the end of the world."
anxious,I am stressed. My wife is expecting a baby. I am happy but at the same time I feel littlle stress by the responsabillities.
anxious,I cant wait to relocate again.
anxious,I'm turning 60 soon. Time flies by so fast.
anxious,I had been waiting on the results of a test of my blood pressure. Thankfully it was fine but it made me nervous waiting.
anxious,I can't wait to know if my wife is going to have a boy or a girl child
anxious,I recently went to the doctor for some tests He checked to see if I have a disease. I'm very nervous.
anxious,Before my final math exam. I needed to score a 90%.
anxious,I had planned a beach trip about a month before we actually went. I had so much trouble containing myself until the trip actually happened.
anxious,The site I have a subscription hasnt updated in 1 week with no news as to what's happening. I paid for 2 years.
anxious,I'm doing a drink a paint session this weekend. I can't wait. It's goin to be fun!
anxious,I had to give a speech in front of a few people I have never met. I was a little scared
anxious,"Girlfriend found a lump in her throat. She has no idea what it could be. Has a doctor's appointment tomorrow. Not sure how forward I am looking to finding out the results, but I guess it's better than leaving it up to my imagination."
anxious,I was super anxious when my power went out yesterday and I had no phone service! I had to go walking to get wifi.
anxious,I had a panic attack the other night and it was terrible. The worst part is that I have no reason to be so stressed
anxious,One time I walked into a final knowing damn well that I was gonna fail. Just the idea of knowing that I was gonna 100% fail was so nerve wracking.
anxious,I am feeling uneasy about going to court
anxious,I was driving on the road one day and I saw a man hit a dog.
anxious,I can't wait to get my paycheck. I'm going shopping.
anxious,i cant wait to see if i got a raise on my next paycheck
anxious,"I work as a self-employed transcriptionist. I told my client I'd have work done this week, but my university classes also started this week... and things kind of got away from me, and they won't be done. I'm worried he's going to just tell me he'll have someone else do them, and I'll lose his business."
anxious,im so ready to see what the future holds
anxious,i have an appointment with the doctor on thursday and it has me so worried
anxious,"Last semester, I had to give a presentation. My stomach hurt from the nerves."
anxious,I have a surgery coming up on Monday.
anxious,I had a job interview the other day. I was so nervous but excited at the same time!
anxious,"My dad had a stroke about a month ago and we've been waiting to see if he would recover 100%. Thankfully he did, but the waiting was pretty intense."
anxious,I have a math test tomorrow. My stomach won't stop churning.
anxious,I can't wait until my daughter becomes an adult. She think its so easy.
anxious,I went to the store and had to buy presents for my family. I really didn't know what to buy.
anxious,I really hate when I have to wake up early for an appointment. I fear I will sleep in and miss it!
anxious,My grandmother is having surgery this week. I hope everything goes good!
anxious,"I had gone on an interview for a job I wanted. I was waiting to hear back, but it was taking a really long time for them to contact me."
anxious,I had a job interview which I was worried about. I had to prepare a presentation and I was scared I would mess up
anxious,I am expecting a friend that I haven't seen in years to come over tomorrow. I'm a bit nervous about seeing him and how much may have changed since the last time.
anxious,My mother had to have a medical test the other day and it took forever. They should not make people wait like that when it's a serious test.
anxious,I have a test in a month from now
anxious,We submitted our proposal for the new project and hope we get it. It would be such a high profile project that would get us a lot of new clients if successful.
anxious,"I had to get my foot checked out at the doctor recently, always makes me nervous."
anxious,"New superintendent has joined my school system. Every superintendent has his/her own expectations, and you never know what type of impression you will make. Today was my first lengthy meeting with him."
anxious,I have been waqiting to hear back about my second interview for a new job.
anxious,My sister is having another baby! I can't wait to meet her! This will be her fourth child.
anxious,for christmas to come
anxious,waiting for my new car to be delivered
anxious,I just took an English teacher certification test. I can't wait for the results to come back.
anxious,There was a wasp in my rom when I woke up thsi morning
anxious,"I've had a few panic attacks lately. I'm supposed to go see the dr tomorrow about them, I hope they can give me something to help."
anxious,I am nervous about Monday. I have to go to the doctor again
anxious,I have been having nightmares every night. I am not looking forward to going to sleep tonight.
anxious,Every time I walk across a major street I am afraid I am going to be hit. I use the crosswalk and look both ways but I keep thinking someone will not stop. I wish I didn't worry so much.
anxious,"I wasnt sure how I was going to pay my car insurance on time. If I didn't, it would get canceled."
anxious,I can't wait for school to start back. A litlle quieter in the house.
anxious,I can't wait to be reunited with my familly
anxious,"I am not looking forward to my job interview, I do not want to do poorly"
anxious,I am really nervous. I have to take an important exam next week.
anxious,I was so curious about being alone
anxious,I have to go to a doctor's appointment on Monday. Hospitals make me so nervous.
anxious,Having an existential crisis and realizing I'm going to die and there's no way to know what will happen when I do
anxious,"ive been feeling really nervous for the past few days and i cant quite tell why, Nothing is specifically going wrong but on the other hand it feels like something is going wrong"
anxious,I was very anxious when my son had his tonsils taken out
anxious,I just took an HIV test because I'm worried about my partner's fiedelity. I'm really nervous about the results.
anxious,One time I had an in person interview for a job. I did not really feel prepared for it
anxious,I'm supposed to cook dinner tonight but have no idea what to cook.
anxious,I have my job interview tomorrow. I am so nervous.
anxious,There's a bad storm coming in tonight. I'm nervous about the damage it might do.
anxious,"I feeling kind of anxious today because I have to run several errands for my father-in-law and he wants them done before my mother-in-law gets back into town which will be sometime today. We don't know what time, so that just complicates things."
anxious,I've been having anxiety attacks
anxious,I kept thinking I had left the front door unlocked whilst I was on vacation
anxious,Just injured my ankle. Now I can't work.
anxious,I am nervous because I am having surgery tomorrow
anxious,Once I had an interview for a job. I didn't feel prepared for it at all
anxious,I am worried about my test scores coming back
anxious,I'm going to ride a jet ski for the first time this weekend.
anxious,Fair rides make me nervous.
anxious,I entered my name in a raffle at church. I cant wait to see who wins.
anxious,The other day I forgot to take my anti-anxiety medication. It didn't affect me too bad until the next morning.
anxious,I am really nervous for my swimming test next week.
anxious,I have my performance appraisal tomorrow at work! I am really nervous!
anxious,I can't find my phone anywhere. Everything is in it!
anxious,The other day I got a strange message from a distant relative. It said they needed surgery but couldn't afford to pay for a doctor. I was so worried.
anxious,My lawn is getting overgrown and I don't know if I can afford a new mower. Mine is broken and hard to start. It's driving me crazy to have my lawn so high
anxious,I'm very socially awkward
anxious,i am moving out of this country soon and i'm worried about my university
anxious,"I am expecting an express package tomorrow, but the tracking has not been updated correctly."
anxious,Long car drive coming up
anxious,Received an off-putting email
anxious,tonight... i really am bc my house is under contract
anxious,"I had to go in for an mri scan due to some headaches. Fortunately the mri was clear, but my mother has MS and we were worried."
anxious,I have a job interview coming up next week. I'm a little nervous about it.
anxious,I've got a first date in about an hour.
anxious,"I drunk texted my boss last night and told him everything that is wrong with his management style, I'm afraid to go to work because I'll get fired."
